#Code,Name,Sizes,Description,Enabled for AdSense,Border Color,Title Color,Background Color,Text Color,URL Color,Placements,Target Window,Ad Type,Target Platform,Mobile Platform,Labels
Title_default_Leaderboard,Title default Leaderboard,728x90,,no,,,,,,Title default,_blank,image,web,,
Title_default_MediumRect,Title default MediumRect,300x250,,no,,,,,,Title default,_blank,image,web,,
Title_default_Skinner,Title default Skinner,1580x700,,no,,,,,,Title default,_blank,image,web,,
Title_default_HalfPage,Title default HalfPage,300x600,,no,,,,,,Title default,_blank,image,web,,
Title_fashion_Leaderboard,Title fashion Leaderboard,728x90,,no,,,,,,Title fashion,_blank,image,web,,
Title_fashion_MediumRect,Title fashion MediumRect,300x250,,no,,,,,,Title fashion,_blank,image,web,,
Title_fashion_Skinner,Title fashion Skinner,1580x700,,no,,,,,,Title fashion,_blank,image,web,,
Title_fashion_HalfPage,Title fashion HalfPage,300x600,,no,,,,,,Title fashion,_blank,image,web,,
Title_beauty_Leaderboard,Title beauty Leaderboard,728x90,,no,,,,,,Title beauty,_blank,image,web,,
Title_beauty_MediumRect,Title beauty MediumRect,300x250,,no,,,,,,Title beauty,_blank,image,web,,
Title_beauty_Skinner,Title beauty Skinner,1580x700,,no,,,,,,Title beauty,_blank,image,web,,
Title_beauty_HalfPage,Title beauty HalfPage,300x600,,no,,,,,,Title beauty,_blank,image,web,,
Title_relationships_Leaderboard,Title relationships Leaderboard,728x90,,no,,,,,,Title relationships,_blank,image,web,,
Title_relationships_MediumRect,Title relationships MediumRect,300x250,,no,,,,,,Title relationships,_blank,image,web,,
Title_relationships_Skinner,Title relationships Skinner,1580x700,,no,,,,,,Title relationships,_blank,image,web,,
Title_relationships_HalfPage,Title relationships HalfPage,300x600,,no,,,,,,Title relationships,_blank,image,web,,
Title_food_Leaderboard,Title food Leaderboard,728x90,,no,,,,,,Title food,_blank,image,web,,
Title_food_MediumRect,Title food MediumRect,300x250,,no,,,,,,Title food,_blank,image,web,,
Title_food_Skinner,Title food Skinner,1580x700,,no,,,,,,Title food,_blank,image,web,,
Title_food_HalfPage,Title food HalfPage,300x600,,no,,,,,,Title food,_blank,image,web,,
Title_travel_Leaderboard,Title travel Leaderboard,728x90,,no,,,,,,Title travel,_blank,image,web,,
Title_travel_MediumRect,Title travel MediumRect,300x250,,no,,,,,,Title travel,_blank,image,web,,
Title_travel_Skinner,Title travel Skinner,1580x700,,no,,,,,,Title travel,_blank,image,web,,
Title_travel_HalfPage,Title travel HalfPage,300x600,,no,,,,,,Title travel,_blank,image,web,,